Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,230.429993,233.759995,228.100006,233.690002,233.039749,13773600
2018-01-23,235.850006,239.830002,235.100006,238.910004,238.245239,11880700
2018-01-24,239.039993,240.490005,233.550003,235.800003,235.143875,14499300
2018-01-25,238.000000,239.750000,235.750000,236.350006,235.692352,10247100
2018-01-26,238.119995,243.339996,237.600006,243.330002,242.652924,12908900
2018-01-29,242.740005,248.110001,240.610001,246.850006,246.163132,11377900
2018-01-30,241.110001,246.419998,238.410004,242.720001,242.044617,14270800
2018-01-31,245.770004,249.270004,244.449997,245.800003,245.116058,11964400
2018-02-01,238.520004,246.899994,238.059998,240.500000,239.830795,12980600
2018-02-02,237.000000,237.970001,231.169998,233.520004,232.870239,17961600
2018-02-05,227.000000,233.229996,205.000000,213.699997,213.105377,29130100
2018-02-06,204.399994,225.699997,204.000000,225.580002,224.952316,27870000
2018-02-07,229.580002,234.970001,226.699997,228.800003,228.163361,20073300
2018-02-08,233.880005,235.220001,217.509995,217.520004,216.914734,28600000
2018-02-09,238.250000,238.889999,217.520004,232.080002,231.434219,41865100
2018-02-12,235.360001,235.479996,225.029999,228.029999,227.395493,27329300
2018-02-13,226.559998,234.500000,225.250000,232.630005,231.982712,15638100
2018-02-14,231.000000,242.589996,230.550003,241.419998,240.748245,18624700
2018-02-15,244.789993,248.369995,241.520004,246.500000,245.814087,17472500
2018-02-16,245.399994,250.000000,243.470001,243.839996,243.161499,15941400
2018-02-20,244.750000,251.869995,244.600006,249.080002,248.386932,17156000
2018-02-21,251.690002,251.970001,241.360001,241.509995,240.837982,22307300
2018-02-22,242.729996,245.630005,239.500000,242.149994,241.626266,13359100
2018-02-23,244.570007,245.929993,242.520004,245.929993,245.398102,10382500
2018-02-26,247.800003,247.979996,244.059998,246.580002,246.046692,11732800
2018-02-27,245.500000,248.910004,245.130005,246.059998,245.527817,11385900
2018-02-28,246.500000,248.100006,241.529999,242.000000,241.476593,13077900
2018-03-01,241.910004,244.089996,228.119995,232.210007,231.707779,26003000
2018-03-02,227.860001,236.800003,221.850006,236.539993,236.028412,22835700
2018-03-05,234.509995,237.250000,229.520004,235.649994,235.140335,15519400
2018-03-06,239.100006,242.940002,237.360001,242.160004,241.636276,15920200
2018-03-07,238.000000,243.949997,237.949997,241.839996,241.316956,14530200
2018-03-08,242.949997,242.949997,239.389999,241.179993,240.658371,10297800
2018-03-09,243.100006,245.850006,242.449997,245.330002,244.799408,12638100
2018-03-12,247.000000,253.000000,246.669998,249.759995,249.219818,15126500
2018-03-13,251.490005,254.500000,246.039993,247.710007,247.174255,15494300
2018-03-14,249.449997,250.550003,246.220001,248.740005,248.202042,12637400
2018-03-15,249.289993,252.619995,247.639999,249.339996,248.800720,10048800
2018-03-16,250.000000,251.250000,248.479996,250.479996,249.938263,9986400
2018-03-19,248.179993,249.350006,237.000000,241.000000,240.478775,17844300
2018-03-20,241.119995,251.149994,241.119995,249.580002,249.040222,13867400
2018-03-21,249.320007,252.000000,247.330002,248.559998,248.022400,10967200
2018-03-22,246.000000,247.880005,240.339996,241.850006,241.326935,13779900
2018-03-23,242.399994,242.500000,232.520004,232.970001,232.466125,18390500
2018-03-26,238.000000,244.529999,235.899994,244.479996,243.951233,15285600
2018-03-27,247.750000,250.000000,219.850006,225.520004,225.032257,35225000
2018-03-28,224.130005,229.389999,217.000000,221.350006,220.871262,23647600
2018-03-29,224.110001,235.500000,220.699997,231.589996,231.089111,22915700
2018-04-02,228.740005,234.649994,217.500000,221.050003,220.571899,23052300
2018-04-03,227.800003,230.350006,221.350006,225.350006,224.862625,16685800
2018-04-04,215.009995,226.660004,214.000000,226.240005,225.750702,19729200
2018-04-05,228.600006,229.130005,218.490005,221.380005,220.901199,17531000
2018-04-06,217.229996,221.600006,213.070007,214.250000,213.786606,16574700
2018-04-09,216.800003,221.970001,214.600006,215.410004,214.944122,12488100
2018-04-10,224.720001,229.000000,222.410004,227.910004,227.417084,19041900
2018-04-11,227.309998,228.979996,224.919998,226.240005,225.750702,11506100
2018-04-12,230.000000,235.320007,228.210007,234.600006,234.092606,14848000
2018-04-13,237.169998,237.509995,229.550003,231.500000,230.999313,12575900
2018-04-16,231.770004,232.839996,227.679993,231.490005,230.989334,8769800
2018-04-17,233.600006,238.399994,231.350006,237.539993,237.026245,11180600
2018-04-18,235.500000,239.250000,232.770004,236.369995,235.858780,9784100
2018-04-19,231.750000,233.100006,226.800003,229.039993,228.544617,11799900
2018-04-20,228.690002,232.100006,227.449997,228.710007,228.215363,9655000
2018-04-23,229.429993,231.500000,222.830002,223.880005,223.395798,10687700
2018-04-24,224.919998,228.800003,218.559998,221.199997,220.721588,10364900
2018-04-25,220.000000,221.580002,210.300003,216.660004,216.191406,14712300
2018-04-26,223.199997,225.550003,220.529999,225.220001,224.732895,9395600
2018-04-27,229.500000,230.300003,224.619995,226.330002,225.840500,10021200
2018-04-30,226.990005,229.000000,224.119995,224.899994,224.413574,8196100
2018-05-01,224.570007,227.250000,222.199997,227.139999,226.648743,6344700
2018-05-02,227.000000,228.800003,225.250000,226.309998,225.820541,6706200
2018-05-03,227.600006,234.050003,225.770004,232.990005,232.486099,11078600
2018-05-04,231.830002,239.190002,231.130005,239.059998,238.542953,10016500
2018-05-07,243.289993,250.990005,242.889999,248.679993,248.142151,17190400
2018-05-08,248.690002,250.509995,246.710007,250.399994,249.858429,12665400
2018-05-09,251.210007,255.869995,250.110001,255.779999,255.226791,14919000
2018-05-10,257.920013,260.500000,257.200012,260.130005,259.567413,24852000
2018-05-11,252.779999,259.790009,250.539993,254.529999,253.979492,30361400
2018-05-14,256.070007,258.489990,254.399994,255.360001,254.807709,13078500
2018-05-15,252.789993,252.899994,241.500000,245.559998,245.028900,24088200
2018-05-16,244.000000,248.520004,242.509995,246.009995,245.477921,13845700
2018-05-17,246.080002,251.500000,245.429993,247.710007,247.174255,12994600
2018-05-18,249.809998,252.369995,245.740005,245.940002,245.408081,12092900
2018-05-21,249.880005,250.029999,240.490005,244.240005,243.711761,16015600
2018-05-22,244.779999,245.800003,240.250000,242.699997,242.175079,12956600
2018-05-23,240.279999,247.589996,240.250000,247.539993,247.157364,11033700
2018-05-24,247.389999,249.399994,245.240005,247.690002,247.307144,10934300
2018-05-25,248.199997,249.940002,246.759995,249.279999,248.894684,7302800
2018-05-29,248.550003,251.339996,246.699997,248.589996,248.205734,8817100
2018-05-30,249.949997,253.339996,248.949997,252.990005,252.598953,9774900
2018-05-31,251.699997,255.199997,251.270004,252.190002,251.800201,12346700
2018-06-01,254.000000,257.869995,253.649994,257.619995,257.221802,10549200
2018-06-04,259.000000,265.739990,257.700012,264.850006,264.440613,16050600
2018-06-05,264.980011,266.589996,263.170013,265.070007,264.660278,9792800
2018-06-06,261.429993,265.279999,260.769989,265.149994,264.740143,9283900
